TypeDoc	TypeJP	Depart	DateRetour	Chalut	Casier	Nasse	Pots	tremail tremail	Turlutte	qseqdebut	qseqfin	Date Jour	NPage	Esp1	Esp2	Esp3	Esp4	Esp5	Esp6	Esp7	Esp8	Esp9	Esp10	Esp11	Esp12	Esp13	Esp14	Esp15	Esp16	PREFIXE
MARREE	HAUTIRIERE	18/09/2016	30/09/2016	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	PE2351	PE2353	18/09/2016	PE2351	3450.0	0.0	51630.0	0.0	0.0	0.0	243.0	1770.0	0.0	0.0	0.0	0.0	0.0	0.0	2682.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	19/09/2016	PE2351	13650.0	0.0	55560.0	0.0	0.0	0.0	0.0	870.0	324.0	0.0	0.0	0.0	0.0	0.0	780.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	20/09/2016	PE2351	18240.0	0.0	33060.0	0.0	0.0	8910.0	0.0	0.0	1647.0	0.0	0.0	0.0	0.0	0.0	3000.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	21/09/2016	PE2351	42630.0	0.0	10020.0	0.0	0.0	6615.0	0.0	0.0	270.0	0.0	0.0	0.0	0.0	0.0	2760.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	22/09/2016	PE2351	46170.0	0.0	27720.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	270.0	0.0	0.0	0.0	4890.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	23/09/2016	PE2352	52740.0	0.0	23880.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2295.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	24/09/2016	PE2352	39600.0	0.0	6690.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1485.0	0.0	0.0	0.0	2700.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	25/09/2016	PE2352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15444.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	26/09/2016	PE2352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10935.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	27/09/2016	PE2352	50100.0	0.0	0.0	0.0	690.0	0.0	0.0	0.0	750.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	28/09/2016	PE2353	31140.0	0.0	0.0	0.0	0.0	0.0	1026.0	0.0	1050.0	0.0	0.0	0.0	0.0	0.0	5859.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	29/09/2016	PE2353	47430.0	0.0	23850.0	0.0	0.0	0.0	297.0	0.0	0.0	0.0	972.0	0.0	0.0	0.0	150.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	30/09/2016	PE2353	13680.0	0.0	24510.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1134.0	0.0	0.0	0.0	0.0	0.0	PE
Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin
MARREE	HAUTIRIERE	04/10/2016	05/10/2016	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	PE2354	PE2354	04/10/2016	PE2354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	05/10/2016	PE2354	13140.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	570.0	0.0	0.0	0.0	0.0	0.0	5562.0	0.0	PE
Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin
MARREE	HAUTIRIERE	16/09/2016	06/10/2016	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	PE1902	PE1906	16/09/2016	PE1902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	17/09/2016	PE1902	23040.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7020.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	18/09/2016	PE1902	10020.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10125.0	0.0	PE
