TypeDoc	TypeJP	Depart	DateRetour	Chalut	Casier	Nasse	Pots	tremail tremail	Turlutte	qseqdebut	qseqfin	Date Jour	NPage	Esp1	Esp2	Esp3	Esp4	Esp5	Esp6	Esp7	Esp8	Esp9	Esp10	Esp11	Esp12	Esp13	Esp14	Esp15	Esp16	PREFIXE
MARREE	HAUTIRIERE	18/09/2016	30/09/2016	false	false	false	false	false	false	PE2351	PE2353	18/09/2016	PE2351	3450.0	0.0	51630.0	0.0	0.0	0.0	243.0	1770.0	0.0	0.0	0.0	0.0	0.0	0.0	2682.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	19/09/2016	PE2351	13650.0	13650.0	13650.0	13650.0	13650.0	13650.0	13650.0	13650.0	13650.0	13650.0	13650.0	13650.0	13650.0	13650.0	13650.0	13650.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	20/09/2016	PE2351	18240.0	18240.0	18240.0	18240.0	18240.0	18240.0	18240.0	18240.0	18240.0	18240.0	18240.0	18240.0	18240.0	18240.0	18240.0	18240.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	21/09/2016	PE2351	42630.0	42630.0	42630.0	42630.0	42630.0	42630.0	42630.0	42630.0	42630.0	42630.0	42630.0	42630.0	42630.0	42630.0	42630.0	42630.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	22/09/2016	PE2351	46170.0	46170.0	46170.0	46170.0	46170.0	46170.0	46170.0	46170.0	46170.0	46170.0	46170.0	46170.0	46170.0	46170.0	46170.0	46170.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	23/09/2016	PE2352	52740.0	52740.0	52740.0	52740.0	52740.0	52740.0	52740.0	52740.0	52740.0	52740.0	52740.0	52740.0	52740.0	52740.0	52740.0	52740.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	24/09/2016	PE2352	39600.0	39600.0	39600.0	39600.0	39600.0	39600.0	39600.0	39600.0	39600.0	39600.0	39600.0	39600.0	39600.0	39600.0	39600.0	39600.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	25/09/2016	PE2352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	26/09/2016	PE2352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	27/09/2016	PE2352	50100.0	50100.0	50100.0	50100.0	50100.0	50100.0	50100.0	50100.0	50100.0	50100.0	50100.0	50100.0	50100.0	50100.0	50100.0	50100.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	28/09/2016	PE2353	31140.0	31140.0	31140.0	31140.0	31140.0	31140.0	31140.0	31140.0	31140.0	31140.0	31140.0	31140.0	31140.0	31140.0	31140.0	31140.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	29/09/2016	PE2353	47430.0	47430.0	47430.0	47430.0	47430.0	47430.0	47430.0	47430.0	47430.0	47430.0	47430.0	47430.0	47430.0	47430.0	47430.0	47430.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	30/09/2016	PE2353	13680.0	13680.0	13680.0	13680.0	13680.0	13680.0	13680.0	13680.0	13680.0	13680.0	13680.0	13680.0	13680.0	13680.0	13680.0	13680.0	PE
Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin
MARREE	HAUTIRIERE	04/10/2016	05/10/2016	false	false	false	false	false	false	PE2354	PE2354	04/10/2016	PE2354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	05/10/2016	PE2354	13140.0	13140.0	13140.0	13140.0	13140.0	13140.0	13140.0	13140.0	13140.0	13140.0	13140.0	13140.0	13140.0	13140.0	13140.0	13140.0	PE
Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin
MARREE	HAUTIRIERE	16/09/2016	06/10/2016	false	false	false	false	false	false	PE1902	PE1906	16/09/2016	PE1902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	17/09/2016	PE1902	23040.0	23040.0	23040.0	23040.0	23040.0	23040.0	23040.0	23040.0	23040.0	23040.0	23040.0	23040.0	23040.0	23040.0	23040.0	23040.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	18/09/2016	PE1902	10020.0	10020.0	10020.0	10020.0	10020.0	10020.0	10020.0	10020.0	10020.0	10020.0	10020.0	10020.0	10020.0	10020.0	10020.0	10020.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	19/09/2016	PE1902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	20/09/2016	PE1902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	21/09/2016	PE1903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	22/09/2016	PE1903	6960.0	6960.0	6960.0	6960.0	6960.0	6960.0	6960.0	6960.0	6960.0	6960.0	6960.0	6960.0	6960.0	6960.0	6960.0	6960.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	23/09/2016	PE1903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	24/09/2016	PE1903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	25/09/2016	PE1903	15090.0	15090.0	15090.0	15090.0	15090.0	15090.0	15090.0	15090.0	15090.0	15090.0	15090.0	15090.0	15090.0	15090.0	15090.0	15090.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	26/09/2016	PE1904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	27/09/2016	PE1904	38550.0	38550.0	38550.0	38550.0	38550.0	38550.0	38550.0	38550.0	38550.0	38550.0	38550.0	38550.0	38550.0	38550.0	38550.0	38550.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	28/09/2016	PE1904	26010.0	26010.0	26010.0	26010.0	26010.0	26010.0	26010.0	26010.0	26010.0	26010.0	26010.0	26010.0	26010.0	26010.0	26010.0	26010.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	29/09/2016	PE1904	29700.0	29700.0	29700.0	29700.0	29700.0	29700.0	29700.0	29700.0	29700.0	29700.0	29700.0	29700.0	29700.0	29700.0	29700.0	29700.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	30/09/2016	PE1904	42750.0	42750.0	42750.0	42750.0	42750.0	42750.0	42750.0	42750.0	42750.0	42750.0	42750.0	42750.0	42750.0	42750.0	42750.0	42750.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	01/10/2016	PE1905	41700.0	41700.0	41700.0	41700.0	41700.0	41700.0	41700.0	41700.0	41700.0	41700.0	41700.0	41700.0	41700.0	41700.0	41700.0	41700.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	02/10/2016	PE1905	28740.0	28740.0	28740.0	28740.0	28740.0	28740.0	28740.0	28740.0	28740.0	28740.0	28740.0	28740.0	28740.0	28740.0	28740.0	28740.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	03/10/2016	PE1905	59880.0	59880.0	59880.0	59880.0	59880.0	59880.0	59880.0	59880.0	59880.0	59880.0	59880.0	59880.0	59880.0	59880.0	59880.0	59880.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	04/10/2016	PE1905	6150.0	6150.0	6150.0	6150.0	6150.0	6150.0	6150.0	6150.0	6150.0	6150.0	6150.0	6150.0	6150.0	6150.0	6150.0	6150.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	05/10/2016	PE1905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	06/10/2016	PE1906	39810.0	39810.0	39810.0	39810.0	39810.0	39810.0	39810.0	39810.0	39810.0	39810.0	39810.0	39810.0	39810.0	39810.0	39810.0	39810.0	PE
Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin
MARREE	HAUTIRIERE	23/09/2016	17/10/2016	false	false	false	false	false	false	PE2951	PE2955	23/09/2016	PE2951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2860.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	24/09/2016	PE2951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	25/09/2016	PE2951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	26/09/2016	PE2951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	27/09/2016	PE2951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	28/09/2016	PE2952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	29/09/2016	PE2952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	30/09/2016	PE2952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	01/10/2016	PE2952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	02/10/2016	PE2952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	03/10/2016	PE2953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	04/10/2016	PE2953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	05/10/2016	PE2953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	06/10/2016	PE2953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	07/10/2016	PE2953	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	08/10/2016	PE2954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	09/10/2016	PE2954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	10/10/2016	PE2954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	11/10/2016	PE2954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	12/10/2016	PE2954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	13/10/2016	PE2955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	14/10/2016	PE2955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	15/10/2016	PE2955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	16/10/2016	PE2955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	17/10/2016	PE2955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin
MARREE	HAUTIRIERE	24/09/2016	17/10/2016	false	false	false	false	false	false	PE2901	PE2905	24/09/2016	PE2901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3950.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	25/09/2016	PE2901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	26/09/2016	PE2901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	27/09/2016	PE2901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	28/09/2016	PE2901	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	29/09/2016	PE2902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	30/09/2016	PE2902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	01/10/2016	PE2902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	02/10/2016	PE2902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
